address,label,source,date_added
0x7f268357a8c2552623316e2562d90e642bb538e5,Infamous scam token deployer,CryptoScamDB,2024-01-15
0x00000000219ab540356cbb839cbe05303d7705fa,Beacon deposit - not scam (false positive test),manual,2024-01-15
0xd8da6bf26964af9d7eed9e03e53415d37aa96045,Vitalik.eth - not scam (false positive test),manual,2024-01-15
0x1da5821544e25c636c1417ba96ade4cf6d2f9b5a,Known phishing deployer,CryptoScamDB,2024-02-01
0x7db418b5d567a4e0e8c59ad71be1fce48f3e6107,Tornado Cash deployer,community-report,2024-02-10
0x098b716b8aaf21512996dc57eb0615e2383e2f96,Ronin bridge exploiter,CryptoScamDB,2024-03-01
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance hot wallet - not scam,manual,2024-01-15
0x72a5343dc1b386a3e509ce39f0b5c00f67e17ba5,Reported rug pull token,community-report,2024-04-15
0xbebe69e9634b73c0df8e5d924038e4e0c1af2e4a,Honeypot deployer,GoPlus-community,2024-05-01
0x45fac5422f6b35d2a935b5b523a50be4e3fd3a41,Known serial rug-puller,CryptoScamDB,2024-05-20
